level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	512	720	-1	
2	1	1	0	0	0	48	60	342	255	-1	
3	1	1	1	0	0	48	60	330	59	-1	
4	1	1	1	1	0	48	60	330	15	-1	
5	1	1	1	1	1	48	60	36	15	96.963493	The
5	1	1	1	1	2	92	60	44	15	96.765961	train
5	1	1	1	1	3	146	60	30	15	96.765961	left
5	1	1	1	1	4	183	60	32	15	96.755142	the
5	1	1	1	1	5	223	60	67	15	96.391090	station
5	1	1	1	1	6	299	64	22	11	95.686218	on
5	1	1	1	1	7	329	60	49	15	95.686218	time.
4	1	1	1	2	0	50	100	307	19	-1	
5	1	1	1	2	1	50	100	40	15	96.269974	Rain
5	1	1	1	2	2	98	100	69	19	96.598763	tapped
5	1	1	1	2	3	176	100	61	19	96.474960	gently
5	1	1	1	2	4	245	104	23	11	95.549225	on
5	1	1	1	2	5	276	100	31	15	95.549225	the
5	1	1	1	2	6	317	100	40	15	96.288788	roof.
3	1	1	2	0	0	48	140	342	175	-1	
4	1	1	2	1	0	48	140	324	19	-1	
5	1	1	2	1	1	48	140	13	15	45.540169	A
5	1	1	2	1	2	69	141	29	14	45.540169	cat
5	1	1	2	1	3	107	140	47	19	96.623192	slept
5	1	1	2	1	4	162	144	22	11	96.907654	on
5	1	1	2	1	5	192	140	31	15	96.889114	the
5	1	1	2	1	6	232	144	54	11	95.364174	warm
5	1	1	2	1	7	294	140	78	15	96.033760	window.
4	1	1	2	2	0	48	180	315	19	-1	
5	1	1	2	2	1	48	180	36	15	95.555290	The
5	1	1	2	2	2	94	184	41	15	95.555290	map
5	1	1	2	2	3	143	180	74	15	96.256516	showed
5	1	1	2	2	4	226	184	9	11	96.960670	a
5	1	1	2	2	5	246	184	66	11	95.524788	narrow
5	1	1	2	2	6	320	180	43	15	95.524788	trail.
4	1	1	2	3	0	49	220	341	19	-1	
5	1	1	2	3	1	49	220	63	15	95.921890	Waves
5	1	1	2	3	2	122	220	52	15	95.921890	rolled
5	1	1	2	3	3	183	221	43	14	96.649330	onto
5	1	1	2	3	4	234	220	31	15	96.413940	the
5	1	1	2	3	5	274	220	49	19	96.155853	quiet
5	1	1	2	3	6	331	220	59	15	96.099426	shore.
4	1	1	2	4	0	50	260	312	15	-1	
5	1	1	2	4	1	50	260	24	15	96.491844	He
5	1	1	2	4	2	82	260	47	15	96.317650	fixed
5	1	1	2	4	3	137	260	31	15	96.951828	the
5	1	1	2	4	4	176	260	54	15	96.741379	fence
5	1	1	2	4	5	240	260	61	15	96.714569	before
5	1	1	2	4	6	311	264	51	11	95.938484	noon.
4	1	1	2	5	0	48	300	338	15	-1	
5	1	1	2	5	1	48	300	36	15	96.917892	The
5	1	1	2	5	2	94	300	53	15	96.859337	kettle
5	1	1	2	5	3	156	300	80	15	96.757095	whistled
5	1	1	2	5	4	246	300	15	15	96.544662	in
5	1	1	2	5	5	269	300	32	15	96.610168	the
5	1	1	2	5	6	310	300	76	15	96.653633	kitchen.
