level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	512	720	-1	
2	1	1	0	0	0	48	59	322	207	-1	
3	1	1	1	0	0	48	59	322	175	-1	
4	1	1	1	1	0	48	59	304	15	-1	
5	1	1	1	1	1	48	59	29	12	96.839302	The
5	1	1	1	1	2	84	59	59	12	96.780357	orchard
5	1	1	1	1	3	150	59	68	12	96.719696	bloomed
5	1	1	1	1	4	225	49	35	32	96.765900	early
5	1	1	1	1	5	268	49	30	32	96.737045	this
5	1	1	1	1	6	305	59	47	15	79.244102	spring.
4	1	1	1	2	0	48	91	322	15	-1	
5	1	1	1	2	1	48	91	11	12	71.138191	A
5	1	1	1	2	2	65	94	53	9	71.138191	narrow
5	1	1	1	2	3	126	91	33	12	96.044434	road
5	1	1	1	2	4	167	91	51	12	96.044434	wound
5	1	1	1	2	5	224	91	62	15	96.808075	through
5	1	1	1	2	6	292	91	25	12	96.968384	the
5	1	1	1	2	7	324	91	46	15	96.552055	valley.
4	1	1	1	3	0	48	123	303	12	-1	
5	1	1	1	3	1	48	123	29	12	96.241806	The
5	1	1	1	3	2	83	123	62	12	95.148125	teacher
5	1	1	1	3	3	150	124	44	11	96.773537	wrote
5	1	1	1	3	4	201	124	43	11	96.773537	notes
5	1	1	1	3	5	250	126	18	9	96.859802	on
5	1	1	1	3	6	274	123	26	12	96.859802	the
5	1	1	1	3	7	306	123	45	12	96.805389	board
4	1	1	1	4	0	49	155	291	15	-1	
5	1	1	1	4	1	49	155	42	15	94.175247	Ships
5	1	1	1	4	2	97	155	55	15	94.175247	passed
5	1	1	1	4	3	159	155	48	15	95.966049	slowly
5	1	1	1	4	4	214	155	57	15	96.769485	beyond
5	1	1	1	4	5	277	155	26	12	97.003860	the
5	1	1	1	4	6	310	155	30	15	96.145439	pier.
4	1	1	1	5	0	48	187	298	15	-1	
5	1	1	1	5	1	48	187	29	12	96.096878	The
5	1	1	1	5	2	84	187	51	12	94.752441	candle
5	1	1	1	5	3	141	187	45	12	95.623466	flame
5	1	1	1	5	4	193	187	58	15	94.654678	swayed
5	1	1	1	5	5	258	187	13	12	94.654678	in
5	1	1	1	5	6	277	187	26	12	96.908394	the
5	1	1	1	5	7	309	187	37	12	96.567284	draft
4	1	1	1	6	0	49	219	281	15	-1	
5	1	1	1	6	1	49	219	63	12	96.724045	Workers
5	1	1	1	6	2	119	219	64	15	96.995804	repaired
5	1	1	1	6	3	190	219	25	12	96.901337	the
5	1	1	1	6	4	222	219	22	12	96.705276	old
5	1	1	1	6	5	252	220	42	11	96.705276	stone
5	1	1	1	6	6	301	219	29	12	95.750961	wall
3	1	1	2	0	0	48	251	278	15	-1	
4	1	1	2	1	0	48	251	278	15	-1	
5	1	1	2	1	1	48	251	29	12	96.844261	The
5	1	1	2	1	2	84	251	59	12	96.736671	orchard
5	1	1	2	1	3	150	251	61	12	92.701065	smelled
5	1	1	2	1	4	218	251	15	12	96.884354	of
5	1	1	2	1	5	239	251	29	15	92.914673	ripe
5	1	1	2	1	6	275	251	51	15	92.914673	apples.
