level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	512	720	-1	
2	1	1	0	0	0	48	60	338	259	-1	
3	1	1	1	0	0	48	60	291	55	-1	
4	1	1	1	1	0	48	60	291	15	-1	
5	1	1	1	1	1	48	60	36	15	96.577057	The
5	1	1	1	1	2	94	60	54	15	96.577057	baker
5	1	1	1	1	3	155	60	55	15	96.812027	sliced
5	1	1	1	1	4	219	64	10	11	96.953995	a
5	1	1	1	1	5	238	64	53	11	96.326706	warm
5	1	1	1	1	6	301	60	38	15	96.514175	loaf.
4	1	1	1	2	0	49	100	279	15	-1	
5	1	1	1	2	1	49	100	65	15	96.850746	Clouds
5	1	1	1	2	2	123	100	63	15	96.798767	drifted
5	1	1	1	2	3	195	104	44	11	96.780060	over
5	1	1	1	2	4	245	100	32	15	96.748131	the
5	1	1	1	2	5	286	100	42	15	96.748131	hills.
3	1	1	2	0	0	48	140	330	55	-1	
4	1	1	2	1	0	50	140	328	19	-1	
5	1	1	2	1	1	50	140	24	15	96.027496	He
5	1	1	2	1	2	84	140	72	19	96.027496	painted
5	1	1	2	1	3	164	140	32	15	96.402962	the
5	1	1	2	1	4	203	140	54	15	96.402962	fence
5	1	1	2	1	5	267	140	57	19	96.459618	bright
5	1	1	2	1	6	333	140	45	15	96.344490	blue.
4	1	1	2	2	0	48	180	276	15	-1	
5	1	1	2	2	1	48	180	36	15	96.990730	The
5	1	1	2	2	2	94	180	44	15	96.743446	river
5	1	1	2	2	3	146	184	30	11	96.737770	ran
5	1	1	2	2	4	184	180	36	15	96.938232	fast
5	1	1	2	2	5	229	180	46	15	96.503052	after
5	1	1	2	2	6	283	180	41	15	96.503052	rain.
3	1	1	3	0	0	48	220	338	99	-1	
4	1	1	3	1	0	49	220	317	19	-1	
5	1	1	3	1	1	49	220	35	15	96.450890	She
5	1	1	3	1	2	94	220	72	19	96.709686	planted
5	1	1	3	1	3	175	220	56	15	95.968689	seeds
5	1	1	3	1	4	241	220	15	15	96.565117	in
5	1	1	3	1	5	266	221	42	14	96.399323	neat
5	1	1	3	1	6	317	224	49	11	96.322823	rows.
4	1	1	3	2	0	48	260	329	19	-1	
5	1	1	3	2	1	48	260	36	15	96.723511	The
5	1	1	3	2	2	94	260	47	19	95.819458	lamp
5	1	1	3	2	3	148	260	83	15	96.630493	flickered
5	1	1	3	2	4	239	260	52	15	96.653610	twice
5	1	1	3	2	5	300	261	18	14	96.858788	at
5	1	1	3	2	6	326	260	51	15	96.899704	dusk.
4	1	1	3	3	0	49	300	337	19	-1	
5	1	1	3	3	1	49	300	48	15	96.438316	Wind
5	1	1	3	3	2	106	300	69	15	95.546112	chimes
5	1	1	3	3	3	184	304	43	15	95.546112	rang
5	1	1	3	3	4	237	304	43	11	96.444672	near
5	1	1	3	3	5	286	300	32	15	96.847702	the
5	1	1	3	3	6	328	300	58	19	96.725807	porch.
