level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	512	720	-1	
2	1	1	0	0	0	48	60	383	259	-1	
3	1	1	1	0	0	49	60	342	59	-1	
4	1	1	1	1	0	50	60	341	19	-1	
5	1	1	1	1	1	50	60	67	15	96.600487	Leaves
5	1	1	1	1	2	124	60	29	15	96.496765	fell
5	1	1	1	1	3	162	64	62	11	96.599022	across
5	1	1	1	1	4	232	60	31	15	96.298279	the
5	1	1	1	1	5	272	61	62	18	96.839279	empty
5	1	1	1	1	6	343	60	48	19	96.585312	path.
4	1	1	1	2	0	49	100	329	19	-1	
5	1	1	1	2	1	49	100	35	15	95.405785	She
5	1	1	1	2	2	94	100	41	15	95.405785	read
5	1	1	1	2	3	144	104	10	11	95.956062	a
5	1	1	1	2	4	164	100	46	15	96.618469	book
5	1	1	1	2	5	219	100	22	19	96.955170	by
5	1	1	1	2	6	248	100	32	15	96.605530	the
5	1	1	1	2	7	287	100	91	19	96.772758	fireplace.
3	1	1	2	0	0	48	140	383	99	-1	
4	1	1	2	1	0	48	140	355	19	-1	
5	1	1	2	1	1	48	140	36	15	96.862518	The
5	1	1	2	1	2	94	140	68	15	96.147568	market
5	1	1	2	1	3	170	140	72	19	96.263824	opened
5	1	1	2	1	4	251	141	18	14	96.572937	at
5	1	1	2	1	5	278	144	57	11	96.294708	seven
5	1	1	2	1	6	344	140	59	19	96.261574	sharp.
4	1	1	2	2	0	49	180	382	15	-1	
5	1	1	2	2	1	49	180	52	15	96.836548	Snow
5	1	1	2	2	2	109	180	78	15	95.841705	covered
5	1	1	2	2	3	195	180	31	15	96.369392	the
5	1	1	2	2	4	235	180	51	15	96.650375	small
5	1	1	2	2	5	295	180	76	15	96.715149	wooden
5	1	1	2	2	6	380	180	51	15	96.454796	shed.
4	1	1	2	3	0	48	220	355	19	-1	
5	1	1	2	3	1	48	220	36	15	96.962044	The
5	1	1	2	3	2	93	220	35	19	95.421631	dog
5	1	1	2	3	3	138	220	65	15	95.983482	barked
5	1	1	2	3	4	212	221	18	14	96.119560	at
5	1	1	2	3	5	237	220	32	15	96.119560	the
5	1	1	2	3	6	279	220	73	19	96.452187	passing
5	1	1	2	3	7	361	221	42	14	96.444878	cart.
3	1	1	3	0	0	48	260	355	59	-1	
4	1	1	3	1	0	48	260	353	19	-1	
5	1	1	3	1	1	48	260	13	15	94.226097	A
5	1	1	3	1	2	70	260	68	15	93.874069	lantern
5	1	1	3	1	3	147	260	69	19	96.409210	glowed
5	1	1	3	1	4	226	264	43	11	95.845978	near
5	1	1	3	1	5	276	260	31	15	96.430389	the
5	1	1	3	1	6	316	260	28	15	96.430389	old
5	1	1	3	1	7	354	260	47	15	96.234161	barn.
4	1	1	3	2	0	49	300	354	19	-1	
5	1	1	3	2	1	49	300	81	15	96.873055	Children
5	1	1	3	2	2	140	300	63	19	96.336708	played
5	1	1	3	2	3	213	300	15	15	96.659233	in
5	1	1	3	2	4	236	300	31	15	96.210907	the
5	1	1	3	2	5	276	300	70	15	96.076950	shaded
5	1	1	3	2	6	356	300	47	19	96.869263	yard.
