level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	512	720	-1	
2	1	1	0	0	0	48	60	370	259	-1	
3	1	1	1	0	0	48	60	329	19	-1	
4	1	1	1	1	0	48	60	329	19	-1	
5	1	1	1	1	1	48	60	37	15	96.795479	The
5	1	1	1	1	2	92	60	68	19	96.297363	library
5	1	1	1	1	3	168	60	62	15	96.582443	closed
5	1	1	1	1	4	239	62	19	13	96.936790	at
5	1	1	1	1	5	265	61	42	14	96.571793	nine
5	1	1	1	1	6	315	60	62	19	96.874275	sharp.
3	1	1	2	0	0	48	100	296	19	-1	
4	1	1	2	1	0	48	100	296	19	-1	
5	1	1	2	1	1	48	100	15	15	96.924294	A
5	1	1	2	1	2	70	100	29	15	96.467239	fox
5	1	1	2	1	3	107	100	76	15	96.860970	crossed
5	1	1	2	1	4	190	100	32	15	96.902000	the
5	1	1	2	1	5	230	100	58	19	96.666718	frosty
5	1	1	2	1	6	295	100	49	15	96.502853	field.
3	1	1	3	0	0	48	140	370	139	-1	
4	1	1	3	1	0	48	140	324	19	-1	
5	1	1	3	1	1	48	140	37	15	96.234772	The
5	1	1	3	1	2	92	140	66	19	93.286911	bridge
5	1	1	3	1	3	166	140	79	15	91.913445	creaked
5	1	1	3	1	4	254	141	17	14	96.852097	in
5	1	1	3	1	5	278	140	32	15	96.715851	the
5	1	1	3	1	6	317	140	55	15	96.562935	wind.
4	1	1	3	2	0	50	180	343	19	-1	
5	1	1	3	2	1	50	180	66	15	96.756226	Smoke
5	1	1	3	2	2	124	185	42	10	96.858711	rose
5	1	1	3	2	3	174	180	47	15	96.781082	from
5	1	1	3	2	4	227	180	32	15	96.364418	the
5	1	1	3	2	5	267	180	32	15	96.448975	tall
5	1	1	3	2	6	307	180	86	19	96.179230	chimney.
4	1	1	3	3	0	48	220	370	19	-1	
5	1	1	3	3	1	48	220	37	15	96.772964	The
5	1	1	3	3	2	93	220	69	15	96.713028	farmer
5	1	1	3	3	3	169	220	80	15	96.327217	counted
5	1	1	3	3	4	257	220	27	15	96.475792	his
5	1	1	3	3	5	293	220	58	19	96.328903	sheep
5	1	1	3	3	6	358	221	60	14	96.328903	twice.
4	1	1	3	4	0	50	260	307	19	-1	
5	1	1	3	4	1	50	260	50	15	96.825005	Stars
5	1	1	3	4	2	109	260	49	15	96.976830	filled
5	1	1	3	4	3	165	260	32	15	96.601837	the
5	1	1	3	4	4	205	260	50	15	96.647362	clear
5	1	1	3	4	5	262	260	52	19	96.700821	night
5	1	1	3	4	6	322	260	35	19	96.295929	sky.
3	1	1	4	0	0	48	300	342	19	-1	
4	1	1	4	1	0	48	300	342	19	-1	
5	1	1	4	1	1	48	300	37	15	96.286011	The
5	1	1	4	1	2	92	300	58	15	96.332611	kettle
5	1	1	4	1	3	157	300	62	15	96.866730	boiled
5	1	1	4	1	4	227	300	28	15	96.204773	for
5	1	1	4	1	5	262	301	84	18	96.672348	morning
5	1	1	4	1	6	353	302	37	13	96.299294	tea.
