level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	512	720	-1	
2	1	1	0	0	0	48	59	321	230	-1	
3	1	1	1	0	0	48	59	235	14	-1	
4	1	1	1	1	0	48	59	235	14	-1	
5	1	1	1	1	1	48	59	32	14	96.506508	The
5	1	1	1	1	2	93	59	52	14	96.506508	clock
5	1	1	1	1	3	158	59	63	14	96.608086	struck
5	1	1	1	1	4	234	63	49	10	95.740654	noon.
3	1	1	2	0	0	48	95	256	18	-1	
4	1	1	2	1	0	48	95	256	18	-1	
5	1	1	2	1	1	48	96	10	13	93.315857	A
5	1	1	2	1	2	71	95	29	18	93.315857	dog
5	1	1	2	1	3	116	99	28	10	96.228912	ran
5	1	1	2	1	4	158	96	40	17	96.269218	past
5	1	1	2	1	5	212	95	30	14	95.872940	the
5	1	1	2	1	6	255	96	49	17	95.872940	gate.
3	1	1	3	0	0	49	131	266	18	-1	
4	1	1	3	1	0	49	131	266	18	-1	
5	1	1	3	1	1	49	132	43	13	96.681213	Snow
5	1	1	3	1	2	104	131	40	14	95.273697	fell
5	1	1	3	1	3	157	131	30	14	96.696144	all
5	1	1	3	1	4	202	131	50	18	96.012604	night
5	1	1	3	1	5	266	131	49	18	96.414307	long.
3	1	1	4	0	0	48	167	321	86	-1	
4	1	1	4	1	0	48	167	321	14	-1	
5	1	1	4	1	1	48	167	32	14	96.518951	The
5	1	1	4	1	2	93	167	29	14	96.518951	bus
5	1	1	4	1	3	135	171	30	10	96.849586	was
5	1	1	4	1	4	180	167	41	14	96.847061	five
5	1	1	4	1	5	233	168	73	13	96.568748	minutes
5	1	1	4	1	6	320	167	49	14	96.350639	late.
4	1	1	4	2	0	49	203	277	14	-1	
5	1	1	4	2	1	49	203	31	14	96.910446	She
5	1	1	4	2	2	92	203	63	14	96.416946	locked
5	1	1	4	2	3	168	203	31	14	96.127457	the
5	1	1	4	2	4	213	203	50	14	96.005653	front
5	1	1	4	2	5	277	203	49	14	96.005653	door.
4	1	1	4	3	0	48	239	256	14	-1	
5	1	1	4	3	1	48	239	32	14	96.675766	The
5	1	1	4	3	2	92	243	41	10	96.586319	oven
5	1	1	4	3	3	147	240	52	13	96.181297	timer
5	1	1	4	3	4	211	240	41	13	96.121552	went
5	1	1	4	3	5	266	239	38	14	95.841728	off.
3	1	1	5	0	0	48	275	278	14	-1	
4	1	1	5	1	0	48	275	278	14	-1	
5	1	1	5	1	1	48	276	32	13	96.352623	Two
5	1	1	5	1	2	93	275	51	14	95.155342	birds
5	1	1	5	1	3	158	276	29	13	96.612030	sat
5	1	1	5	1	4	201	279	19	10	96.322655	on
5	1	1	5	1	5	233	275	31	14	96.444519	the
5	1	1	5	1	6	276	279	50	10	96.497467	wire.
